Description,Question,Equation,Input Numbers,Output
lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells .,how many more did she find ?,- number1 number0,68 89,21.0
josh had number0 marbles in his collection . he lost number1 marbles .,how many marbles does he have now ?,- number0 number1,16 7,9.0
megan has number0 seashells .,how many more seashells does she need to find to have number1 seashells in her collection ?,- number1 number0,19 25,6.0
brad has number0 balloons . number1 balloons are red and the rest are green .,how many green balloons does brad have ?,- number0 number1,17 8,9.0
there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?,+ number0 number1,38 10,48.0
mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks .,how many more rocks does she need to complete the border ?,- number0 number1,125 64,61.0
mrs. hilt had number0 marbles . she lost number1 of them .,how many marbles does she have left ?,- number0 number1,38 15,23.0
mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .,how many miles did they have left to drive ?,- number0 number1,78 32 28,46.0
mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange,how many of them were red ?,- number0 number1,33 20,13.0
on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .,how many raisins were on the table on monday ?,- number0 number1,88 8,80.0
mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?,+ number0 number1,21 11 36 57,32.0
zach scored number0 points in the football game . ben scored number1 points .,how many more points did zach score ?,- number0 number1,42 21,21.0
kate has number0 pennies . john has number1 pennies .,how many more pennies does john have ?,- number1 number0,223 388,165.0
mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?,+ number0 number1,13 12,25.0
dan has $ number0 . he bought a candy bar for $ number1 .,how much money is left ?,- number0 number1,3.00 1.00,2.0
charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?,+ number0 number1,31 19,50.0
randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?,- number0 number1,78 19,59.0
gino has number0 brown bears number1 white bears and number2 black bears .,how many bears does gino have ?,+ + number0 number1 number2,15 24 27,66.0
morgan has number0 red pens number1 blue pens and number2 black pens .,how many pens does she have ?,+ + number0 number1 number2,65 45 58,168.0
bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?,- number0 number1,50 20,30.0
while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5,how many nails will they have ?,+ + number0 number5 number3,9 2 1 55 1 31,95.0
the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .,how many ounces of paint would they buy in total ?,+ + number0 number1 number2,20 15 34,69.0
upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2,how many cookies were eaten in total ?,+ + number0 number1 number2,15 10 5,30.0
annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients,how many pieces of meat did she buy in total ?,+ + number0 number1 number2,15 10 30,55.0
andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .,how many portions of appetizers did andrew bring in all ?,+ + number0 number1 number2,30 20 40,90.0
annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .,how many glasses of juice would there be ?,+ + number0 number1 number2,25 15 5,45.0
on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class,how many people attended her birthday party ?,+ + number0 number1 number2,15 20 3,38.0
the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums,how many chewing gums did the number3 have in all ?,+ + number0 number1 number2,5 10 15 3,30.0
the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies .,how many candies did she get in total ?,+ + number0 number1 number2,10 15 20,45.0
after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors .,how many treats did mary john and sue have in total ?,+ + number1 number2 number3,3 60 55 40,155.0
it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden .,how many eggs were hidden in total ?,+ + number0 number1 number2,55 33 22,110.0
joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden .,how many eggs did joe find ?,+ + number1 number2 number3,1 12 5 3,20.0
the rest of the kids around town got number0 more eggs around the club house number1 eggs around the park and number2 eggs in the town hall garden . if we add all the eggs that they got,how many eggs would that be ?,+ + number0 number2 number1,13 9 8,30.0
if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hall,how many easter eggs were found that day ?,+ + number0 number1 number2,40 25 15,80.0
penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles .,how many eagles are on display that day ?,+ + number1 number2 number3,3 20 15 30,65.0
after the aviary was the zoo 's swamp area . penny counted a total of number0 tree frogs number1 poison frogs and number2 wood frogs .,how many frogs was penny able to count ?,+ + number0 number1 number2,55 10 13,78.0
aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers .,how many dangerous animals did the teacher point out in total ?,+ + number0 number1 number2,22 23 5,50.0
next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects .,how many species of insects did penny capture ?,+ + number0 number1 number2,60 15 20,95.0
last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales .,how many species was penny able to identify ?,+ + number0 number1 number2,35 15 5,55.0
marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather number0 milk bottles and john was able to gather number1 milk bottles,how many milk bottles do they have available for recycling ?,+ number1 number0,25 20,45.0
chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another block,how many newspapers were they able to collect together ?,+ number0 number1,42 23,65.0
andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1,how many wrappers were gathered in total ?,+ number0 number1,34 15,49.0
after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1,how many pen holders were made ?,+ number0 number1,26 37,63.0
if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1,how many recycled products will they be able to sell at the fair ?,+ number0 number1,65 28,93.0
robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold number0 packs of cookies while lucy sold number1 how,many packs of cookies were they able to sell that day ?,+ number0 number1,47 29,76.0
because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round .,how many cookies were sold by lucy ?,+ number0 number1,34 27,61.0
still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 how,many packs were they able to sell that day ?,+ number0 number1,55 43,98.0
with the end of the month coming in number0 days they decided to sell cookies to the neighboring villages as well . if they sold number1 packs on number2 village and number3 on the other,how many cookies were they able to sell in the other villages ?,+ number1 number3,2 23 1 28,51.0
on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold number0 packs and robyn sold number1 how,many packs did they sell on their last day ?,+ number0 number1,19 16,35.0
it 's earth awareness day and the town of flora is celebrating by planting trees in areas where the forest has been damaged . mayor fauna leader of the town of flora donated number0 oak tree seedlings and number1 seedlings of holly .,how many seedlings did he donate altogether ?,+ number0 number1,27 16,43.0
mr. fortree a businessman also gave seedlings for the tree planting activity . if he gave number0 seedlings of cedar and number1 seedlings of pine,how many seedlings did he give in total ?,+ number0 number1,14 38,52.0
students from flora middle school were asked to participate in the event . they planted number0 apple trees and number1 orange trees in the forest near their school .,how many trees in total did the students plant ?,+ number0 number1,47 27,74.0
rangers from flora natural park and wildlife reserve also joined the activities on that day . they planted number0 redwood trees and number1 cypress trees to replace the trees that were destroyed during a recent forest fire .,how many trees did the rangers plant ?,+ number1 number0,75 25,100.0
professor treehead of the flora university requested his students to participate . he said that they planted number0 species of trees in the natural park number1 species of trees in the neighboring forest and number2 species of trees all around different locations in town .,how many species of trees were planted by the students ?,+ + number0 number2 number1,15 20 10,45.0
hazel and her father both love going on fishing trips . this year they planned to go around the great lakes for a unique fishing experience . their first stop is lake ontario . hazel and her father decided to have a contest between them . if hazel caught number0 salmons and her dad caught number1,how many salmons did they catch in total ?,+ number0 number1,24 27,51.0
their next destination is lake erie . still in a contest hazel caught number0 different fishes while her father caught number1 how,many fishes did they catch in lake erie ?,+ number0 number1,48 46,94.0
the following week they decided to go to lake huron and lake michigan . during their stay there they caught a total of number0 pikes number1 sturgeons and number2 herrings .,how many fishes did they catch from the number3 lakes ?,+ + number0 number1 number2,30 40 75 2,145.0
being concerned with the ecology of lakes hazel and her dad returned the youngling fishes they caught . if they took number0 fishes from lake ontario and erie number1 fishes from lake huron and michigan and number2 from lake superior,how many fishes will they bring home with them ?,+ + number0 number1 number2,23 30 44,97.0
it is buddy 's first day at a new school and he is feeling very nervous . his day begins with some bacon and egg prepared by his mother . after eating and preparing buddy headed out to catch the school bus from the nearest bus stop . including buddy there were number0 students that got on the bus during the first stop . if number1 more students got on the bus at the second stop,how many students are riding the bus ?,+ number0 number1,39 29,68.0
upon arriving at the school buddy immediately went to his teacher where he was introduced to all the third grade students in the school . there were number0 girl students and number1 boy students .,how many third graders did buddy meet in the school ?,+ number0 number1,57 66,123.0
after recess buddy changed clothes for gym class . down at the gym all the students were divided into number0 groups . if number1 group has number2 members and the other has number3,how many students are in buddy 's gym class ?,+ number2 number3,2 1 34 37,71.0
after the final bell rang buddy ran to the school bus with his new friends . on his ride home he counted number0 students sitting on the left side of the bus and number1 sitting on the right .,how many students are on the bus ride home ?,+ number0 number1,36 27,63.0
helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning .,how many cookies did helen bake ?,+ number0 number1,435 139,574.0
pinky the pig bought number0 apples while danny the duck bought number1 how,many apples do they have altogether ?,+ number0 number1,36 73,109.0
dylan the dog prepared number0 hotdog sticks in a brown bag . his father placed number1 more hotdog sticks in the same brown bag .,how many hotdog sticks did dylan and his father place in the brown bag ?,+ number0 number1,241 426,667.0
helen 's mother brought number0 hotdogs . after a few hours dylan 's mother arrived with number1 hotdogs .,how many hotdogs do they have altogether ?,+ number0 number1,101 379,480.0
pinky made number0 miniature pumpkin pies for everyone and helen made number1 how,many miniature pies do they have in total ?,+ number0 number1,147 56,203.0
it 's spring break at rosewood high so rachel and her family decided to take a trip across europe . since rachel has always been fascinated by the french people they began their tour with a visit to france . during their stay there rachel went to the famous eiffel tower . if she climbed number0 flights of stairs going up and number1 going down,what is the total number of steps that she took ?,+ number0 number1,567 325,892.0
after visiting france rachel 's sister bella requested that they see the buckingham palace in london . if they travelled number0 miles by land and number1 miles by sea across the english channel,what is the total distance that they travelled ?,+ number0 number1,451 150,601.0
the very first thing that rachel tried when they reached england was the food . if she ate number0 grams of bacon and number1 grams of sausages,how much food did she eat in total ?,+ number0 number1,276 147,423.0
after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the palace that day . if there were number1 visitors the previous day,how many visited the palace within number2 days ?,+ number0 number1,583 246 2,829.0
the last stop of their tour was italy ; there they visited naples the place where modern pizza was invented . during their stay there she ate number0 grams of pizza and her sister ate number1 how,many grams of pizza did rachel and bella ate there ?,+ number0 number1,598 354,952.0
christmas is near . mr. anderson president of nice people inc. organized a charity event to share happiness to the less fortunate people . the first thing that he did is to visit an orphanage . there he dressed up as santa and gave toys to the children . if he gave number0 toy cars to the boys and number1 dolls to the girls,how many toys did he give to all ?,+ number0 number1,134 269,403.0
next on his list is the nursing home near his office . there he number0 boxes of vitamins and number1 boxes of supplements .,how many boxes of medicine did the nursing home receive from mr. anderson ?,+ number0 number1,472 288,760.0
feeling good about what he did mr. anderson decided to continue giving to others . he went around the city and gave clothes to homeless people . if he gave number0 shirts and number1 trousers,how many pieces of clothing did he gave out in total ?,+ number0 number1,589 345,934.0
after giving out clothes he invited the homeless to the nearest soup kitchen to give them a proper meal . if he fed number0 men and number1 women,how many homeless people was he able to feed ?,+ number0 number1,219 328,547.0
the last place that he went to was the city animal shelter . there he donated some money to make sure the dogs and cats there are being taken care of . if there are number0 cats and number1 dogs there,how many animals are there in the shelter ?,+ number0 number1,645 567,1212.0
denver the dog is a famous architect in the city of animapolis . together with his engineer friend wally the wolf they decided to build the tallest building ever the animus tower . to make sure the framework of the tower is strongly built they hired the best builders in town . if they hired number0 beavers and number1 spiders,how many workers in total did they hire to make the framework ?,+ number0 number1,318 544,862.0
to carry heavy construction materials they employed number0 red ants and number1 black ants .,how many ants did they employ in total ?,+ number0 number1,413 487,900.0
after the framework was finished they asked number0 monkeys and number1 termites to finish the rest of the building .,how many workers finished the rest of the construction ?,+ number0 number1,239 622,861.0
when the building is done they wanted to make it shine brightly in the night . to fix that they commissioned number0 fireflies and number1 glow worms .,how many animals worked in the lights ?,+ number0 number1,432 297,729.0
it took all of the workers number0 year to finish the animus tower and it was indeed the brightest and tallest structure that can be seen at animapolis ' skyline . if the first half of the building has number1 stories and the second half has number2 stories .,how many stories do the animus tower has ?,+ number1 number2,1 145 255,400.0
it 's new year 's eve . benjamin and his family went to new york city to take part in the celebration that is going to take place later that night . before the evening celebrations benjamin wanted to see some of the famous places in nyc first . from the hotel he walked number0 steps to the nearest restaurant then another number1 steps to central park .,how many steps did he take to get to central park from the hotel ?,+ number0 number1,234 378,612.0
next on his list is the famous empire state building . there he learned that the building stands number0 feet to the top floor and the antenna spire is number1 feet .,how tall is the empire state building ?,+ number0 number1,1250 204,1454.0
at the top of the empire state building he saw the madison square garden so he decided to go there as well . it took him number0 steps to get down the building and number1 steps from the building to madison square garden .,how many steps did he take to get to madison square ?,+ number0 number1,676 315,991.0
it 's getting dark so he decided to take number0 last stop . he took a cab to the metropolitan museum of art . if he saw number1 pieces of asian art and number2 pieces of egyptian art,how many pieces of art did he see ?,+ number1 number2,1 465 527,992.0
after visiting the museum benjamin went back to the hotel where he prepared for new year 's eve at the annual times square ball drop . to get there he took number0 steps to the rockefeller center then number1 steps to times square itself .,how many steps did he take before reaching times square ?,+ number0 number1,354 228,582.0
sofia president of the school student organization held a meeting to talk about the food being served at the school cafeteria . the first order of business is to discuss whether the students like the food being served at the school . if number0 students said that they like the food and number1 students said they did n't,how many students participated in the discussion ?,+ number0 number1,383 431,814.0
after agreeing that the school menu needs to be changed they had a vote for food suggestions . if number0 voted to add more veggies to the menu and number1 voted to add more meat,how many students voted ?,+ number0 number1,337 335,672.0
since the result of the vote was close it was decided that they will balance the menu with both meat and vegetables . this decision was agreed upon by number0 third grade students and number1 number2 grade students .,how many students agreed with the decision ?,+ number0 number1,154 237 4,391.0
because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu,how many students participated in the suggestion of new food items ?,+ number0 number1,279 234,513.0
after a week sofia did a survey to ask if the students liked the new menu . she found out that number0 students liked the new menu while number1 did n't .,how many students took part in sofia 's survey ?,+ number0 number1,235 165,400.0
winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away for winter,how many bird families were left near the mountain ?,- number0 number1,67 32,35.0
at the river number0 out of number1 salmon families went to warmer waters to avoid being frozen .,how many salmon families were left in the river ?,- number1 number0,25 55,30.0
the wolves though accustomed to cold weather also wanted to move away from the incoming winter . if there are number0 packs of wolves living in the forest and number1 packs went away,how many wolf packs were left in the forest ?,- number0 number1,43 31,12.0
some deer families are also moving out to avoid the shortage of grass that will result from occasional blizzards . if there are number0 deer families in the area and around number1 of them stayed,how many deer families moved out ?,- number0 number1,79 45,34.0
even the chipmunks are trying to get away to find other warmer places to stay . if number0 chipmunk families were left from the original number1 families,how many chipmunk families went away ?,- number1 number0,21 86,65.0
wendy is a very generous kid . every time her parents buy her some stuff she always gives some of it to her friends . for her birthday this year she received a new set of shoes . she now has a total of number0 pairs of shoes . if she gave away number1 pairs of shoes to her friends,how many pairs of shoes were left to her ?,- number0 number1,33 14,19.0
at the first day back in school her parents bought her different colored pens . if her parents bought her number0 pens and she gave number1 of those to her friends,how many pens were left for her to use ?,- number0 number1,56 22,34.0
during halloween she was able to get a lot of candies from trick or treating . she decided to give away some of them to the homeless kids nearby . if she has number0 candies and gave away number1,how many does she have left ?,- number0 number1,60 40,20.0
thanksgiving came and their family hosted their building 's thanksgiving dinner . they prepared a lot of food so she asked her parents if they could donate some to the soup kitchen next bock . if they prepared number0 turkeys and gave number1 of it to the soup kitchen,how many were left for them to eat ?,- number0 number1,36 18,18.0
christmas came and as usual she received number0 gifts to put under the christmas tree . she wanted to make other kids happy so she sent number1 of her gifts to the orphanage downtown .,how many gifts were left under their christmas tree ?,- number0 number1,77 66,11.0
alicia loves collecting art . she has a whole house filled with all the art she obtained since she was a little kid . when she decided to move away she started donating some of her art to different museums . first museum she went to was the metropolitan museum in new york . she donated number0 medieval art pieces from the number1 she originally has .,how many medieval art pieces were left with her ?,- number1 number0,46 70,24.0
the next museum on her list is the guggenheim in new york as well . there she gave number0 sets of egyptian mask from her collection of number1 how,many sets of masks were left in alicia 's collection ?,- number1 number0,51 90,39.0
after new york she decided to visit the smithsonian in washington dc . if she has number0 miniature aircrafts and she gave away number1 to the national air and space museum,how many are left with her ?,- number0 number1,63 49,14.0
she also decided to contribute to the collection of the museum of natural history . after donating some of her bug collection she was left with number0 bug species . if she originally has number1 bug species,how many did she donate ?,- number1 number0,39 98,59.0
her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collection,how many did she send away ?,- number1 number0,15 78,63.0
jasmine also bought some chips for her friends in which she got for a discount of $ number0 . if the chips originally cost $ number1,how much did she actually spend on chips ?,- number1 number0,17.00 35.00,18.0
when she came back to her mother she returned $ number0 worth of change . from the initial $ number1 that her mom gave her,how much money in total did she spend on buying groceries ?,- number1 number0,27.00 100.00,73.0
it 's basketball season in ashford elementary school . chuck the team captain of the blue team is feeling nervous about it . their first opponent is the red team composed of other number0 graders gave them a hard time . if they lost by number1 points and the red team scored number2 points,what is their team 's final score ?,- number2 number1,3 13 61,48.0
feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1,how large was their lead ?,- number0 number1,72 55,17.0
their next opponent was the green team . if their final score is number0 points and they led by number1 points,what is green team 's final score ?,- number0 number1,68 29,39.0
with the win streak that they have chuck 's team was able to get into the playoffs . they reached the semi-finals where they played against the black team . if they finished the game with number0 points and won it by number1 points,what is the black team 's final score ?,- number0 number1,83 18,65.0
for the championship game they faced the powerful red team . wanting redemption chuck and his teammates did their best and gave everything that they 've got . in the end they won the game with the final score of number0 if the red team scored number1 points,how large was the difference of their scores ?,- number0 number1,95 76,19.0
simon mark kevin and carl love collecting stamps . they meet up every month to compare and share their collections with each other . during the previous month kevin was able to collect number0 stamps while simon was only able to collect number1 how,many more stamps does kevin have more than simon ?,- number0 number1,45 27,18.0
carl on the other hand was able to collect number0 stamps which are number1 more than what mark was able to collect .,how many stamps was mark able to collect ?,- number0 number1,74 36,38.0
if carl has a total of number0 stamps and kevin has number1,how many more stamps does carl have more than kevin ?,- number0 number1,89 57,32.0
the following month the number0 friends met again to share their collections . carl having the most number of stamps among all of them decided to give away some of his collections . if he has number1 stamps during that month and he gave away number2,how many stamps were left with him ?,- number1 number2,4 96 48,48.0
before his friends gave him more stamps simon initially had number0 stamps . if he now has number1 stamps,how many stamps did he receive from his friends ?,- number1 number0,34 61,27.0
rob is very fond of tall structures . he likes collecting pictures and comparing them . number0 of his favorite buildings are chicago 's sears tower and dubai 's burj khalifa . if burj khalifa stands at number1 meters high and sears stands at number2 meters high,how much higher is burj khalifa than sears ?,- number1 number2,2 830 527,303.0
rob also compared the empire state building and the petronas towers .,what is the height difference between the number0 if the empire state building is number1 m tall and the petronas towers is number2 m tall ?,- number2 number1,2 443 452,9.0
rob also matched the london eye which stands at number0 ft and las vegas ' high roller standing at number1 ft. being the tallest ferris wheel in the world,how much taller is high roller than the london eye ?,- number1 number0,443 550,107.0
lastly rob compared canada 's cn tower and seattle 's space needle .,how tall is the space needle if the cn tower stands at number0 m high and it is taller than the space needle by number1 m ?,- number0 number1,553 369,184.0
mike and his brother joe found a map leading to a buried treasure in an unknown island so they decided to go on a treasure hunt . after decoding the clues on the map they found out that they need to go to the island of mysteries . to get there they could either take a plane for $ number0 or a boat for $ number1 .,how much money can they save if they took a boat to the island ?,- number0 number1,600.00 254.00,346.0
when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 how,many steps do they have to take to get to the next clue ?,- number0 number1,537 369,168.0
