input	Equation
victor had $ number0 . for his allowance he got another $ number1 .how much money does he have total ?	+ number0 number1
she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the thirdhow much did she donate to the second orphanage ?	- number1 + number2 number3
students from flora middle school were asked to participate in the event . they planted number0 apple trees and number1 orange trees in the forest near their school .how many trees in total did the students plant ?	+ number0 number1
henry had $ number0 . later he sold some of his old toys and got another $ number1 .how much money does he have total ?	+ number0 number1
emily 's mom was buying extra school supplies for emily and her sister . she bought number0 packs of glue sticks total . if she gave emily number1 packshow many did her sister get ?	- number0 number1
matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friendshow many crackers did each person eat ?	/ number0 number1
the ski resort reported number0 inches of snow in january . they measured number1 inches of snow during the first week . they measured number2 inches of snow the second week .how much snow did they get the rest of the month ?	- - number0 number1 number2
penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles .how many eagles are on display that day ?	+ + number1 number2 number3
a video game store was getting rid of old games selling them number0 for $ number1 . if they sold number2 gameshow much money would they have made ?	* / number1 number0 number2
wendy earned number0 points for each bag of cans she recycled . if she had number1 bags but did n't recycle number2 of themhow many points would she have earned ?	* - number1 number2 number0
jack received number0 emails in the morning and number1 emails in the afternoon .how many emails did jack receive in the day ?	+ number0 number1
on the last day of school only number0 students showed up . if number1 of them were checked out earlyhow many students were left ?	- number0 number1
marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather number0 milk bottles and john was able to gather number1 milk bottleshow many milk bottles do they have available for recycling ?	+ number1 number0
the difference between number0 numbers is number1 the smaller number is number2 whatis the larger number ?	+ number2 number1
the ring toss game at the carnival made number0 dollars in number1 days . if they made the same amount of money each dayhow much did they make per day ?	/ number0 number1
a garden has number0 rows and number1 columns of bean plants .how many plants are there in all ?	* number0 number1
amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hourshow far is sfl from the city ?	* number0 number1
john was drawing super heroes number0 sheet of scrap paper . he drew number1 pictures total . if he drew number2 on the back .how many heroes did he draw on the front ?	- number1 number2
laurie has number0 more marbles than kurt . kurt has number1 marbles less than dennis . dennis has number2 marbles .how many marbles does laurie have ?	+ - number2 number1 number0
paige 's dresser drawers could hold number0 pieces of clothing each . if she had number1 drawershow many pieces of clothing could it hold ?	* number0 number1
the host prepared number0 cakes for the party . after the party he had number1 left .how many cakes did people eat in the party ?	- number0 number1
number0 campers went rowing in the morning . number1 campers went rowing in the afternoon .how many campers went rowing in all ?	+ number0 number1
mrs. hilt saw number0 bees in the hive . the next day she saw number1 times that many .how many bees did she see on the second day ?	* number0 number1
it has been tradition in shiela 's home to hang a sock above the fireplace for each member of the family . this year she placed a cinnamon ball every day in the socks for number0 of her family members .how long can she do this if she bought number1 cinnamon balls ?	/ number1 number0
a chef only had number0 apples so he ordered number1 more bags . if each bag has number2 appleshow many apples does he have total ?	+ * number1 number2 number0
thanksgiving came and their family hosted their building 's thanksgiving dinner . they prepared a lot of food so she asked her parents if they could donate some to the soup kitchen next bock . if they prepared number0 turkeys and gave number1 of it to the soup kitchenhow many were left for them to eat ?	- number0 number1
lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .how many shells did he pick up in all ?	+ number0 number1
katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is number0 miles from her place . she took a plane that made number1 stopovers the number2 stopover after covering number3 miles and the number4 stopover after another number5 miles .how much farther is the island from the number6 stopover ?	- number0 + number3 number5
adam picked number0 strawberries . after eating some he had number1 left .how many strawberries did adam eat ?	- number0 number1
andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1how many wrappers were gathered in total ?	+ number0 number1
at the fair megan had $ number0 to spend . she spent $ number1 on rides .how much money does she have left ?	- number0 number1
the sum of number0 numbers is number1 number2 of the numbers is number3 whatis the other number ?	- number1 number3
martha bought number0 small cakes . she has number1 children . she would like to divide the cakes among her children so that each child gets the same amount .how many cakes would each child get ?	/ number0 number1
adam was reading through his favorite book series . the first week he read number0 different books . the next week he read number1 books .how many books did he read total ?	+ number0 number1
adam needed to climb number0 stair steps to reach the rooftop . he already climbed number1 .how many stair steps do left for adam to climb now ?	- number0 number1
number0 students signed up for computer classes . there were number1 second graders and number2 third graders . the rest of the students were number3 graders .how many number4 graders took computer classes ?	- - number0 number1 number2
lizette has number0 stamps . she has number1 more stamps than minerva .how many stamps does minerva have ?	- number0 number1
roger is at the library helping put away books . there are number0 book to put away total but a librarian takes number1 of them and leaves roger with the rest . if he can fit number2 books on a shelfhow many shelves will he need ?	/ - number0 number1 number2
the following week they decided to go to lake huron and lake michigan . during their stay there they caught a total of number0 pikes number1 sturgeons and number2 herrings .how many fishes did they catch from the number3 lakes ?	+ + number0 number1 number2
tyler had number0 dogs . each dog had number1 puppies .how many puppies does tyler now have ?	* number0 number1
edward spent $ number0 . now he has $ number1 .how much did edward have before he spent his money ?	+ number0 number1
sarah bought number0 new shirts for school . if she already had number1 shirtshow many did she own total ?	+ number0 number1
a designer was buying furniture for her new house . she bought number0 chairs for the living room and number1 for her kitchen .how many chairs did she buy total ?	+ number0 number1
at the school halloween party number0 girls and number1 boys dressed as ghosts .how many people total dressed as a ghost ?	+ number0 number1
denver the dog is a famous architect in the city of animapolis . together with his engineer friend wally the wolf they decided to build the tallest building ever the animus tower . to make sure the framework of the tower is strongly built they hired the best builders in town . if they hired number0 beavers and number1 spidershow many workers in total did they hire to make the framework ?	+ number0 number1
paul made number0 dollars mowing lawns and number1 dollars weed eating . if he only spent number2 dollar a weekhow long would the money last him ?	/ + number0 number1 number2
last week adam ran number0 miles more than katie . adam ran number1 miles .how many miles did katie run ?	- number1 number0
vanessa had to complete number0 pages of homework . each page had number1 problems on it .how many problems did she have to complete total ?	* number0 number1
zoe bought an app that cost $ number0 dollars . then each month you have to pay $ number1 to play online . if she played the game online for number2 monthshow much money would she have spent total for the app and the online access ?	+ * number1 number2 number0
chris gave his number0 friends number1 pieces of candy each .how many pieces of candy did chris give his friends ?	* number0 number1
ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground .how many more marble did ed have than doug then ?	+ number0 number1
frank got number0 pounds of mushroom for family barbecue . if they ate number1 poundshow many pounds were left ?	- number0 number1
carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs .how many more chairs do they have left to move ?	- - number0 number1 number2
a farmer had number0 tomatoes from his garden . if he picked number1 of themhow many would he have left ?	- number0 number1
ralph has a photo album with number0 pages . he has number1 pictures of wild animals . ralph 's friend derrick has number2 pictures of wild animals .how many fewer pictures of wild animals does ralph have ?	- number2 number1
kendra learns number0 new spelling words each week . her goal is to learn number1 new words before her number2 birthday . she has already learned number3 new words .how many more words does kendra need to learn ?	- number1 number3
faye picked number0 flowers for her friend 's wedding . she was making bouquets with number1 flowers in each one . if number2 of the flowers wilted before the weddinghow many bouquets could she still make ?	/ - number0 number2 number1
daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheephow many sheep do they have in total ?	* number1 number2
cody had number0 dollars . for his birthday he got number1 more dollars but spent number2 on a new game .how much money does he have now ?	- + number0 number1 number2
audrey has number0 peaches . paul has number1 peaches .what 's the difference of the number of audrey 's peaches and paul 's peaches ?	- number1 number0
robin 's hair was number0 inches long . if she cut off number1 incheshow long is her hair now ?	- number0 number1
harry hound had a terrible earache yesterday . when i peered into his ears yesterday i found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . i cleaned out harry hound 's ears .how many fleas perished ?	+ number0 number1
ryan collected number0 leaves . he lost number1 leaves . after a while number2 more leaves broke .how many leaves are left in his collection ?	- - number0 number1 number2
a pet shop has a total of number0 animals . number1 of them are kittens and number2 of them hamsters the rest are birds .how many birds are there ?	- - number0 number1 number2
rachel baked some brownies . she brought number0 brownies to school that day . she left number1 brownies at home .how many brownies did rachel bake ?	+ number0 number1
the library has number0 science books . the second graders borrowed number1 of them .what 's the difference between the number of science books the library has in the beginning and the second graders borrowed ?	- number0 number1
a tape was number0 meters long . haley used some to seal cartons . now the tape is number1 meters long .how much tape did she use ?	- number0 number1
there were number0 passengers on the bus . number1 passengers got off at the first stop . number2 passengers got off at the second stop .how many passengers were left on the bus ?	- - number0 number1 number2
ned gave away number0 of his video games to a friend . now ned has number1 games .how many games did ned have before he gave the games away ?	+ number0 number1
when they arrived at happyland they immediately went in and bought their tickets . if each ticket cost $ number0 and they bought number1 ticketshow much did they spend on tickets ?	* number0 number1
erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day .how many miles did they ride altogether ?	+ number1 number2
the last place that he went to was the city animal shelter . there he donated some money to make sure the dogs and cats there are being taken care of . if there are number0 cats and number1 dogs therehow many animals are there in the shelter ?	+ number0 number1
faye had number0 books . if she bought number1 more at a yard salehow many would she have total ?	+ number0 number1
when the building is done they wanted to make it shine brightly in the night . to fix that they commissioned number0 fireflies and number1 glow worms .how many animals worked in the lights ?	+ number0 number1
in a game you start with number0 lives . if you got number1 extra lives in the first level and number2 more in the secondhow many lives would you have ?	+ + number0 number1 number2
there are number0 books on the shelf . marta put number1 more books on the shelf .how many books are on the shelf now ?	+ number0 number1
to get to school chad must either walk around a circular lake or canoe across it . the diameter of the lake is number0 miles .how much shorter is his trip if he canoes across the lake rather than walks around it ? ( use the value of pi = number1 )	- number1 number0
for a party adam bought number0 cupcakes . if number1 were eatenhow many cupcakes would adam have left ?	- number0 number1
jane helped her mom prepare fresh lemonade . if each glass needs number0 lemonshow many glasses of fresh lemonade can she make if they have number1 lemons ?	/ number1 number0
before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1how much did he spend for tires in total ?	* number0 number1
at the store beef jerky was $ number0 for number1 pounds . if you bought number2 poundshow much would it cost ?	* / number0 number1 number2
frank had $ number0 . after buying some new toys he had $ number1 left .how much did he spend on toys ?	- number0 number1
she also ate a hearty breakfast so that she would have enough energy . she bought number0 pieces of her favorite bread . if each piece of bread costs number1 centshow much did jenny spend for her breakfast ?	* number0 number1
last saturday marie sold number0 magazines and number1 newspapers .what is the total number of reading materials she sold ?	+ number0 number1
at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1how many more grains are needed to be gathered ?	- number0 number1
the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus .how many buses are needed to take the trip ?	/ number1 number2
a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months .how much would it end up costing you total if you bought number3 phone ?	+ * number1 number2 number0
tiffany had number0 pages of math homework and number1 pages of reading homework . if each page had number2 problems on ithow many problems did she have to complete total ?	* + number0 number1 number2
vanessa bought number0 old cds at a garage sale . if number1 of the cds were scratched uphow many good cds did she buy ?	- number0 number1
a delivery driver had to make number0 more stops on his route . at each stop he had to drop off number1 boxes .how many boxes does he have ?	* number0 number1
gary had some stickers . he gave number0 stickers to lucy and number1 stickers to alex . if he had number2 stickers lefthow many stickers did gary have at first ?	+ + number0 number1 number2
roger was reading through his favorite book series . he had number0 books to read total . if he read number1 books each weekhow many weeks would it take him to finish the series ?	/ number0 number1
feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1how large was their lead ?	- number0 number1
maria stored number0 cloves of garlic in the kitchen . she used number1 for roast chicken for dinner .how many cloves of garlic does she have left ?	- number0 number1
the capacity of a tank is number0 gallons . if a company bought number1 gallons of oilhow many tanks are needed to hold all the oil ?	/ number1 number0
haley 's old washing machine could only wash number0 pieces of clothing at a time . if she had to wash number1 shirts and number2 sweatershow many loads would she have to do ?	/ + number1 number2 number0
a transport company bought number0 tons of oil . a large barrel can hold number1 tons of oil and a small barrel can hold number2 tons of oil . in order to use the least number of barrels and have every barrel fully occupiedhow many large barrels should be used ?	/ number0 number1
the exit door leads to a river number0 inches across if the bridge he needs to cross is only number1 incheshow much longer does he need to build if he wants to cross the river using the bridge ?	- number0 number1
number0 boys went down the slide . number1 more boys went down the slide .how many boys went down the slide ?	+ number0 number1
oliver bought number0 boxes of candy . later he bought number1 more boxes .how many boxes did he have totaled ?	+ number0 number1
the school cafeteria had number0 apples . if they used number1 to make lunch for the students and then bought number2 morehow many apples would they have ?	+ - number0 number1 number2
lex read another book with number0 pages . if he read the same number of pages for number1 dayshow many pages did he read every day ?	/ number0 number1
thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the secondhow much did she give to the third home ?	- number0 + number2 number3
after paying number0 dollars for the pie sandy has number1 dollars left .how much money did she have before buying the pie ?	+ number0 number1
mother bought some potatoes . she used number0 of the potatoes to make salads and number1 of the potatoes for mashed potatoes . if there were number2 potatoes lefthow many potatoes did mother buy at first ?	+ + number0 number1 number2
a dvd book holds number0 dvds . there are number1 dvds already in the book .how many more dvds can be put in the book ?	- number0 number1
a chef had number0 apples . after making some pies he had number1 left .what 's the difference between the number of apples before the chef made pies and the after the chef making pies ?	- number0 number1
arthur baked number0 muffins .how many more muffins does arthur have to bake to have number1 muffins ?	- number1 number0
bianca was practicing for a marathon . to prepare she ran number0 miles the first day and number1 miles the next day .how many miles did bianca run altogether ?	+ number0 number1
bryan has always been fond of studying rocks and minerals . he has a room full of books about and samples of the different types of rocks . number0 particular day he went in the room to take a look at his mineral samples . if he has number1 samples of minerals per shelf and he has a total of number2 shelveshow many mineral samples does he have ?	* number1 number2
emily was selling some of her old toys at a garage sale . she started out with number0 toys and sold number1 of them .how many does she have left ?	- number0 number1
jerry was selling his old games . he started out with number0 but sold number1 of them . he packed the rest up putting number2 games into each box .how many boxes did he have to use ?	/ - number0 number1 number2
a store had number0 packs of paper for $ number1 .how much would it cost if you were to buy number2 packs ?	* / number1 number0 number2
the roller coaster at the state fair costs number0 tickets per ride . if number1 friends were going to ride the roller coasterhow many tickets would they need ?	* number0 number1
next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects .how many species of insects did penny capture ?	+ + number0 number1 number2
there are number0 butterflies . each butterfly has number1 black dots and number2 yellow dots .how many black dots are there in all ?	* number0 number1
paige raised number0 goldfish in the pond but stray cats loved eating them . now she has number1 left .how many goldfish disappeared ?	- number0 number1
rob also matched the london eye which stands at number0 ft and las vegas ' high roller standing at number1 ft. being the tallest ferris wheel in the worldhow much taller is high roller than the london eye ?	- number1 number0
charlie has number0 more snowballs than lucy . she has number1 snowballs .how many does charlie have ?	+ number0 number1
while playing basketball team a scored number0 points . if each person scored number1 pointshow many people were playing ?	/ number0 number1
amy had number0 video games . if she placed the games into number1 different stackshow many games would be in each stack ?	/ number0 number1
at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .how many different kinds of birds did the children see from the bird cages ?	* number0 number1
lana had number0 extra nickels . if she put them into stacks with number1 in each stackhow many stacks could she make ?	/ number0 number1
jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a timehow many jars will she need ?	/ number0 number1
paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . if each box has number2 pieces inside ithow much candy did he have total ?	* + number0 number1 number2
a box can hold number0 pieces of chalk . if there are number1 pieces of chalkhow many boxes are full to hold all the chalk ?	/ number1 number0
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .how many chickens do they have in total ?	* number0 number1
megan gave number0 acorns to her sister . now megan has number1 acorns left .how many acorns did megan have in the beginning ?	+ number0 number1
after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors .how many treats did mary john and sue have in total ?	+ + number1 number2 number3
tiffany was collecting cans for recycling . on monday she had number0 bags of cans . the next day she found number1 more bags worth .how many bags did she have totaled ?	+ number0 number1
for a birthday party a clown gave away number0 balloons . now he has number1 balloons left .how many balloons did the clown have to start with ?	+ number0 number1
mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .how many miles did they have left to drive ?	- number0 number1
there were number0 girls and number1 boys on the playground at recess .how many children were there in all ?	+ number0 number1
mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping .how much did mrs. griffin spend ?	- number0 number1
cody had number0 old video games he wanted to get rid of . if he gave his friend number1 of the gameshow many does he still have ?	- number0 number1
a store has number0 shirts . after selling some there were number1 left .what 's the difference between of the number of shirts before selling and after selling ?	- number0 number1
omar loves to play checkers . he played number0 games yesterday . he played number1 games today . omar lost number2 games .how many games did he win ?	- + number0 number1 number2
the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .how many ounces of paint would they buy in total ?	+ + number0 number1 number2
stanley a car enthusiast loves to drive across different places as a hobby . so for his vacation he decided to go around his favorite places . his first destination is the famous sky falls number0 of the tallest waterfalls in his country . it is said to be number1 times as tall as the tallest building in their city . if the building is number2 feet tallhow tall is sky falls ?	* number1 number2
a summer sports camp had number0 soccer campers basketball campers and football campers . if number1 of them were basketball campers and number2 of them were football campershow many soccer campers were there ?	- - number0 number1 number2
